Gene1	Gene2
ACADS	DBT
ACADS	ECHS1
ACADS	EHHADH
ACADS	GCDH
ACADS	HADHA
ACADS	HADHB
ACADVL	ESR1
ACADVL	ICT1
ACADVL	ZNF143
ACAN	FBLN2
ACAN	LUM
ACAN	TNFAIP6
ACAN	TNR
ACAN	VCAN
ACAP1	IFFO1
ACAP2	NFYA
ACAP2	NFYB
ACAP2	PBX3
ACAP2	SP1
ACAP2	SP2
ACAP3	CEBPB
ACAP3	E2F1
ACAP3	EIF6
ACAT1	ACAT2
ACAT1	ACLY
ACAT1	ACOT12
ACAT1	ACSS1
ACAT1	ACSS2
ACAT1	AKR1B10
ACAT1	ALDH6A1
ACAT1	CS
ACAT1	DLAT
ACAT1	EHHADH
ACAT1	EIF1B
ACAT1	FASN
ACAT1	HADH
ACAT1	HADHB
ACAT1	HDAC5
ACAT1	HMGCL
ACAT1	HMGCS1
ACAT1	HMGCS2
ACAT1	HSD17B10
ACAT1	HSD17B4
ACAT1	HSD3B7
ACAT1	MLYCD
ACAT1	OXCT1
ACAT1	OXCT2
ACAT1	RDH11
ACAT1	RDH12
ACAT1	RDH13
ACAT1	RDH14
ACAT2	ACLY
ACAT2	ACOT12
ACAT2	ACSS1
ACAT2	ACSS2
ACAT2	AKR1B10
ACAT2	ALDH6A1
ACAT2	CS
ACAT2	DLAT
ACAT2	EHHADH
ACAT2	FASN
ACAT2	HADH
ACAT2	HADHB
ACAT2	HMGCL
ACAT2	HMGCS1
ACAT2	HMGCS2
ACAT2	HSD17B10
ACAT2	HSD17B4
ACAT2	HSD3B7
ACAT2	MLYCD
ACAT2	OXCT1
ACAT2	OXCT2
ACAT2	RDH11
ACAT2	RDH12
ACAT2	RDH13
ACAT2	RDH14
ACAT2	SREBF1
ACAT2	SREBF2
ACBD3	GOLGB1
ACBD4	CTCF
ACBD4	RAD21
ACBD4	SMC3
ACBD4	ZBTB7A
ACBD5	ELF1
ACBD6	IKBKG
ACCN1	ACCN3
ACCN1	STOML1
ACCN2	GATA2
ACCN2	PICK1
ACCN2	PRKACA
ACCN2	STOML1
ACCN2	TAL1
ACCN3	DLG4
ACCN3	GOPC
ACCN3	LIN7B
ACCN3	MAGI1
ACCN3	PRKACA
ACCN3	SIX5
ACCN3	STOML1
ACCN4	CCNT2
ACCN4	TAL1
ACCS	CTCF
ACCS	FBF1
ACD	CEBPB
ACD	POT1
ACD	TERF1
ACD	TERF2
ACD	TINF2
ACD	XRCC6
ACE	CTCF
ACER2	CERK
ACER2	DEGS1
ACER2	DEGS2
ACER2	ENPP7
ACER2	GBA
ACER2	PPAP2A
ACER2	PPAP2C
ACER2	SMPD1
ACER2	SMPD2
ACER2	SMPD3
ACER2	SPHK1
ACER2	SPHK2
ACER3	SPHK1
ACER3	SPHK2
ACE	UBC
ACHE	APP
ACHE	CHAT
ACHE	CHDH
ACHE	CHKA
ACHE	SPI1
ACHE	ZBTB7A
ACIN1	BANF1
ACIN1	CTCF
ACIN1	HNF4G
ACIN1	NR3C1
ACIN1	NRF1
ACIN1	PAFAH1B2
ACIN1	RBM39
ACIN1	SAP18
ACIN1	SREBF1
ACIN1	SRRM1
ACIN1	ZNF263
ACIN1	ZNF274
ACLY	ACO1
ACLY	ACO2
ACLY	ACOT12
ACLY	ACSS1
ACLY	ACSS2
ACLY	AKR1B10
ACLY	ALDH6A1
ACLY	CDKN2A
ACLY	CLYBL
ACLY	CS
ACLY	DDO
ACLY	DLAT
ACLY	FASN
ACLY	GOT1
ACLY	GOT2
ACLY	GSK3B
ACLY	HADHB
ACLY	HDAC5
ACLY	HGS
ACLY	HMGCL
ACLY	HMGCS1
ACLY	HMGCS2
ACLY	HSD3B7
ACLY	IKBKE
ACLY	IRF1
ACLY	MDH1
ACLY	MDH2
ACLY	MLYCD
ACLY	NME2
ACLY	PC
ACLY	PCK1
ACLY	PCK2
ACLY	PRKAB1
ACLY	RDH11
ACLY	RDH12
ACLY	RDH13
ACLY	RDH14
ACLY	SREBF1
ACLY	TERF1
ACLY	TERF2
ACLY	TFE3
ACLY	UBC
ACMSD	HAAO
ACMSD	MAGEA11
ACO1	ACO2
ACO1	ARAF
ACO1	CLYBL
ACO1	CS
ACO1	CTCF
ACO1	FBXL5
ACO1	GAK
ACO1	IDH1
ACO1	IDH2
ACO1	IDH3A
ACO1	IDH3B
ACO1	IDH3G
ACO1	NPR2
ACO1	RAD21
ACO1	UBC
ACO2	CLYBL
ACO2	CS
ACO2	IDH1
ACO2	IDH2
ACO2	IDH3A
ACO2	IDH3B
ACO2	IDH3G
ACO2	NEK6
ACO2	PSMD4
ACO2	SRRM2
ACO2	TYK2
ACOT11	DHRS1
ACOT11	DHRS3
ACOT11	DHRS7
ACOT11	DHRSX
ACOT11	ESCO1
ACOT11	ESCO2
ACOT11	KAT6A
ACOT11	KAT6B
ACOT11	LCLAT1
ACOT11	NAA10
ACOT11	NAA20
ACOT11	NAT6
ACOT11	PNPLA3
ACOT12	ACSS1
ACOT12	ACSS2
ACOT12	AKR1B10
ACOT12	ALDH1A3
ACOT12	ALDH1B1
ACOT12	ALDH2
ACOT12	ALDH3A1
ACOT12	ALDH6A1
ACOT12	ALDH7A1
ACOT12	ALDH9A1
ACOT12	CLYBL
ACOT12	CS
ACOT12	DLAT
ACOT12	HADHB
ACOT12	HMGCL
ACOT12	HSD3B7
ACOT12	MLYCD
ACOT12	RDH11
ACOT12	RDH12
ACOT12	RDH13
ACOT12	RDH14
ACOT13	HNF4A
ACOT13	HNF4G
ACOT1	SREBF1
ACOT2	ZNF277
ACOT8	FOS
ACOT8	GABPA
ACOT8	IRF3
ACOT8	MYC
ACOT8	NFYA
ACOT8	NFYB
ACOT8	PBX3
ACOT8	SP1
ACOT8	SP2
ACOT9	ICT1
ACOX1	ACSL1
ACOX1	ACSL3
ACOX1	ACSL5
ACOX1	ACSL6
ACOX1	ACSM1
ACOX1	CPT1A
ACOX1	CPT1B
ACOX1	CPT1C
ACOX1	CPT2
ACOX1	ECHS1
ACOX1	EHHADH
